,Angry,Disgust,Fear,Happy,Neutral,Sad
Angry,0,0,0,4,0,0
Disgust,0,0,0,0,0,0
Fear,0,0,0,0,0,0
Happy,0,0,0,2,0,0
Neutral,0,0,0,0,0,0
Sad,0,0,0,0,0,0
