epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.8154303822201252,0.19981677524429967,1.7856895224424838,0.19957926167209555
2.0,1.7841044511993889,0.19961319218241041,1.7856958014617526,0.19957926167209555
3.0,1.784074663062227,0.1995114006514658,1.7854960905822816,0.19957926167209555
4.0,1.7839982270260102,0.1995114006514658,1.785537330791694,0.19957926167209555
5.0,1.784063080269095,0.1995114006514658,1.7854292692938145,0.19957926167209555
6.0,1.7840781808971355,0.1995114006514658,1.7854017436213137,0.19957926167209555
7.0,1.7840331239013019,0.1995114006514658,1.7853791358578348,0.19957926167209555
8.0,1.7840800930894547,0.1995114006514658,1.7852119875507557,0.19957926167209555
9.0,1.7841174267414435,0.1995114006514658,1.785015303661782,0.19957926167209555
10.0,1.7840554476730792,0.1995114006514658,1.7856895224424838,0.19957926167209555
