Class,Precision,Recall,F1-Score,Support
Angry,0.0,0.0,0.0,2539
Disgust,0.19957926167209555,1.0,0.33274876958759975,2941
Fear,0.0,0.0,0.0,2384
Happy,0.0,0.0,0.0,2237
Neutral,0.0,0.0,0.0,1999
Sad,0.0,0.0,0.0,2636
accuracy,0.19957926167209555,0.19957926167209555,0.19957926167209555,14736
macro avg,0.03326321027868259,0.16666666666666666,0.055458128264599955,14736
weighted avg,0.03983188168957878,0.19957926167209555,0.0664097537565914,14736
